ebay_id,ebay_name,ebay_path
173511,Brake Component Kits,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Component Kits
173830,Bike Racks,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Racks & Cargo Carriers|Bike Racks
173831,Straps & Tie-Downs,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Racks & Cargo Carriers|Straps & Tie-Downs
173832,Towing Mirrors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Towing Parts & Accessories|Towing Mirrors
173863,HVAC Temperature Sensors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air Conditioning & Heating|HVAC Temperature Sensors
173950,"Hoses, Lines & Pipes","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Hoses, Lines & Pipes"
174020,Brake Pad Wear Sensors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Pad Wear Sensors
174021,Brake Boosters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Brakes & Brake Parts|Brake Boosters
174028,Particulate Filters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Particulate Filters
174030,Expansion & Overflow Tanks,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engine Cooling Components|Expansion & Overflow Tanks
174044,"Heat Shields, Wraps & Sleeves","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Heat Shields, Wraps & Sleeves"
174062,Reflectors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Reflectors
174065,Other Lighting & Lamps,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Other Lighting & Lamps
174070,Glow Plugs,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Ignition Systems & Components|Glow Plugs
174072,Spark Plugs,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Ignition Systems & Components|Spark Plugs
